campaign_id,campaign_name,zones_per_campaign,total_served_impressions,planned_impression,end_date,revenue_type,goal_type,label,delivery_pct
6335,1817418_KM_Marriott UF25 - Broad Inspiration - April-Aug25_Display,152,54828733,18591754.0,2025-08-31,paid,consideration,0,294.91
6439,1848450 _KM_PNC Brand Launch_Q2 2025-Q4 2025_Display,83,9253339,857142.0,2025-09-30,paid,consideration,0,1079.56
6638,1772851_KM_CLEAR MP Partnership Q2'Q3'25_Display,99,19589402,2891026.0,2025-10-09,paid,consideration,0,677.59
6647,"1802083_KM_Janus Henderson Ready, Invest, Go 2025_Display",98,20585439,7785000.0,2025-12-31,paid,consideration,0,264.42
6729,1772916_MP_Vivid Seats - Q2 2025 - Q1 2026_Display,137,20308374,1520513.0,2026-03-31,paid,consideration,0,1335.63
6769,1907709_KM_Saily eSIm Q3_RoutestoCAN_Display,77,175603,164103.0,2025-09-30,paid,consideration,0,107.01
6775,1854562_Colorado Tourism Office_Summer 2025_ROC_Display,101,16473887,815000.0,2025-09-15,paid,consideration,0,2021.34
6779,"1774496_ KM_Fisher Investments_Q2-Q3 25_ROC_First, Business, 1K_Display",179,21905031,5392569.0,2026-01-05,paid,consideration,0,406.21
6791,1902471_MP_Avis_Q3 2025_ROC_Display,106,14787718,2833334.0,2025-09-30,paid,consideration,0,521.92
6800,1913933_KM_Bayer- Miralax Q2-Q3'25_Display,71,14084945,4000001.0,2025-08-31,paid,consideration,0,352.12
6854,"1764584_MP_Visa, Inc - Cross Borders_NA - Q1 2025-Q3 2025_Display",74,552627,2343750.0,2025-09-30,paid,consideration,1,23.58
6857,1866711_KM_Visa_Cross Border Global Request_Q2-Q3_2025_Display,70,909039,3125000.0,2025-09-30,paid,consideration,1,29.09
6956,1846365_KM_McDonalds McDLand Q3'25_Display,112,570017,4791667.0,2025-09-07,paid,consideration,1,11.9
6957,1846365_KM_McDonalds McDLand Q3'25_Sponsorship_SciFi/Fantasy Collection_Display,5,3370063,750000.0,2025-09-07,paid,consideration,0,449.34
7041,1910086_KM_Meridian_In-Flight Headphone Partner_Q3-Q2_2025-26_Display,201,21426899,7000000.0,2026-01-31,paid,consideration,0,306.1
7043,1852685_KM_Sphere H2 2025_Display,155,349328,1133334.0,2025-12-31,paid,consideration,1,30.82
7048,1774496_ KM_Fisher Investments_Q2-Q3 25_ROC_New Releases_Display,1,181406,5392569.0,2025-10-21,paid,consideration,1,3.36
7060,1928001_KM_Deckers Brands_Hoka_CHI Marathon RFP_Q3-Q4 2025_Display,88,1397644,1153846.0,2025-10-19,paid,consideration,0,121.13
7091,1963889_KM_Zoox 2025 LV Campaign_Display,76,112617,1153847.0,2025-12-31,paid,consideration,1,9.76
7134,1951861_KM_Discover Puerto Rico Cruise Campaign_Display,102,9021353,512820.0,2025-11-16,paid,consideration,0,1759.17
7164,1935060_MP_Marriott UF25_Ritz Carlton_3Q25_Display,96,257382,2600585.0,2025-11-03,paid,consideration,1,9.9
7182,1957037_KM_Canva B2B 2H'25_Display,88,3812275,979167.0,2025-11-14,paid,consideration,0,389.34
7183,1957037_KM_Canva B2B 2H'25_LAX Route_Display,71,116219,979167.0,2025-11-02,paid,consideration,1,11.87
7186,1901851_KM_Aruba Tourism_Aruba Tourism_2025 Q4_Display,97,7507706,789481.0,2025-12-31,paid,consideration,0,950.97
7199,1777625_MP_Instacart 2025_2026 Loyalty Plan_Display,190,10444413,927428.0,2026-03-31,paid,consideration,0,1126.17
7200,1968414_MP_Illy National Coffee Day Q3'25_Display,88,1513604,2166667.0,2025-10-31,paid,consideration,1,69.86
7205,1911090_KM_Navan Business Travel Show Oct 2025_Display,84,275120,528690.0,2025-10-26,paid,consideration,1,52.04
7232,1852878_KM_Colombia Tourism Spring 2025_Display,95,3161886,512821.0,2025-11-30,paid,consideration,0,616.57
7236,1997974_MP_Avis_MP Partnership_4Q25_Display,85,862106,1333333.0,2025-10-31,paid,consideration,1,64.66
7239,1986361_KM_Saily eSIm Canada Q4 2025_Display,78,56270,164102.0,2025-12-31,paid,consideration,1,34.29
7242,1984190_KM_Jamaica Tourism Board Q4 2025_Display,98,15771022,769230.0,2025-12-31,paid,consideration,0,2050.23
7254,1866710_KM_Deckers Brands_Hoka_NYC_Marathon RFP_Q3 2025_Display,98,1095715,1153846.0,2025-11-16,paid,consideration,1,94.96
7257,1852685_KM_Sphere H2 2025_Display_NewReleasesBoost,3,31742,1133334.0,2025-12-31,paid,consideration,1,2.8
7275,1849741_KM_Audible Q4'25 Campaign_Display,93,12900726,3000000.0,2025-12-31,paid,consideration,0,430.02
7302,1993377_CO_DEN-YQR Q4'25_Display,90,870058,1000000.0,2025-11-17,paid,consideration,1,87.01
7303,1992701_KM_Thales Q4 2025 OOH_Display,87,2900803,833334.0,2025-12-31,paid,consideration,0,348.1
7307,1924864_KM_Sierra AI 2H FY26_Event Support Campaign_Display,72,13691,16070.0,2025-11-02,paid,consideration,1,85.2
7315,1983881_CO_Adelaide CoOp Digital Hemisphere Sponsorship_Display,20,415555,3400000.0,2025-10-31,paid,consideration,1,12.22
7316,1988996_KM_BMS Sotyktu Fall Clinical Dermatology Congress_Q4'25_Display,74,56127,81657.0,2025-10-30,paid,consideration,1,68.74
7318,1764764_IFS Labs_H2 2025_Q2 2025-Q4 2025_Display,96,10106570,6955716.0,2025-12-31,paid,consideration,0,145.3
7351,1988996_KM_BMS Sotyktu Fall Clinical Dermatology Congress_Q4'25_Display_Boost,4,27069,81657.0,2025-10-30,paid,consideration,1,33.15
7387,1993336_KM_Viking Cruises November - December 2025_Display,185,9242806,3483516.0,2026-01-31,paid,consideration,0,265.33
7388,2019741_KM_Cayman Islands Government - 2025_Display,96,7224720,1461538.0,2025-12-31,paid,consideration,0,494.32
7401,1985284_MP_Turo Q4 2025_Display,2,30968170,6400000.0,2026-01-05,paid,consideration,0,483.88
7405,1985284_MP_Turo Q4 2025_Sponsorship_Tis The Season_Display,4,25085824,750000.0,2025-12-31,paid,consideration,0,3344.78
7411,1929801_KM_OMD MSC Cruises Q4'25 Campaign_Display,96,935802,384615.0,2025-12-31,paid,consideration,0,243.31
7412,1819117_MP_Lyft Loyalty Program 2025 - 2027_Display,102,4593743,833334.0,2026-01-10,paid,consideration,0,551.25
7417,1904778_KM__U.S. State Department Q4'25-Q1'26_Display,95,5651315,1282062.0,2026-03-20,paid,consideration,0,440.8
7419,1838714_KM_Vail Resorts Q4 2025_Display,97,4637374,2500000.0,2025-12-04,paid,consideration,0,185.49
7489,2021864_MP_Avis_MP Partnership_Nov-Dec25_Display,97,4083742,3333333.0,2025-12-31,paid,consideration,0,122.51
7492,2015571__KM_Meow Wolf Q4'25_Display,78,391733,769230.0,2025-12-31,paid,consideration,1,50.93
7495,1983880_CO_Denver-Winnipeg Co-Op_Display,98,1011215,2051282.0,2026-01-05,paid,consideration,1,49.3
7497,1998903_KM_Atlassian F1 Event Q4'25_Display,79,60437,58333.0,2025-12-07,paid,consideration,0,103.61
7543,1761205_KM_Hackensack Meridian Health_Q2 2025-Q3 2025_Display,96,2364889,461539.0,2026-01-15,paid,consideration,0,512.39
7547,1982957_KM_Travel Manitoba - RFP - Q4 2025_Display,83,1394640,666667.0,2025-12-31,paid,consideration,0,209.2
7552,1935672_KM_Disney Theatrical - NYDMA Travel: The Lion King_Display,87,369480,256410.0,2025-12-31,paid,consideration,0,144.1
7578,2033698_KM_Netflix_The Rip_Display,77,1054748,1538462.0,2026-01-04,paid,consideration,1,68.56
7708,2049101_MP_Avis_MP Partnership_Jan-Feb 2026_Display,98,12774270,1666667.0,2026-02-28,paid,consideration,0,766.46
7710,1924864_KM_Sierra AI 2H FY26_Event Support Campaign_Q1_Display,84,180667,221500.0,2026-01-21,paid,consideration,1,81.57
7718,2039145_MP_Live Nation NKOTB_Display,103,11629099,2764425.0,2026-03-31,paid,consideration,0,420.67
