icao_airline,event_date,total_impression_cnt,non_video_impression_cnt,clickable_impression_cnt,total_click_cnt,video_impression_cnt,total_skip_cnt,total_complete_cnt,active_tails
UAL,2025-01-01,1204564,848864,718720,8426,355700,9973,345792,349
UAL,2025-01-02,1183334,805818,673650,8261,377516,10712,366915,348
UAL,2025-01-03,1165898,799199,661103,8765,366699,10414,356388,359
UAL,2025-01-04,1219018,833935,693321,8522,385083,10984,374176,357
UAL,2025-01-05,1393424,1028423,922367,32056,365001,10009,355029,357
UAL,2025-01-06,1099135,760657,633036,9127,338478,9202,329340,368
UAL,2025-01-07,988702,683352,553377,7291,305350,8602,296793,371
UAL,2025-01-08,912773,640692,510119,6499,272081,7812,264308,354
UAL,2025-01-09,890788,617708,510788,7070,273080,7551,265577,353
UAL,2025-01-10,997204,690504,572921,7107,306700,8966,297784,364
UAL,2025-01-11,1518081,1117651,966997,11821,400430,16355,384117,365
UAL,2025-01-12,1415201,1098252,972821,11041,316949,13495,303485,365
UAL,2025-01-13,1124427,836356,719205,9203,288071,12233,275866,369
UAL,2025-01-14,967151,716255,595483,8212,250896,11025,239926,373
UAL,2025-01-15,966147,719698,630102,8792,246449,11152,235330,362
UAL,2025-01-16,1143774,852273,738796,9813,291501,12777,278752,369
UAL,2025-01-17,1266458,944784,826796,10398,321674,13545,308173,372
UAL,2025-01-18,1382034,1036156,894687,12122,345878,13960,331981,368
UAL,2025-01-19,1198140,908590,780726,10123,289550,12343,277248,367
UAL,2025-01-20,1261903,951118,828199,10273,310785,12087,298726,370
UAL,2025-01-21,1034084,775101,679767,8959,258983,9309,249720,358
UAL,2025-01-22,978871,733379,623097,8795,245492,9675,235863,361
UAL,2025-01-23,1074459,802459,689314,9932,272000,11052,260983,374
UAL,2025-01-24,1153946,857622,747852,9696,296324,12074,284300,372
UAL,2025-01-25,1170308,870332,760238,10509,299976,11755,288248,369
UAL,2025-01-26,1237473,938040,811373,9993,299433,11315,288165,371
UAL,2025-01-27,1137805,846080,736046,9569,291725,10720,281061,369
UAL,2025-01-28,936220,701771,579252,7873,234449,8291,226186,373
UAL,2025-01-29,1123798,839382,707924,10424,284416,10419,274032,369
UAL,2025-01-30,1705425,1336021,1179619,18383,369404,14780,355088,370
UAL,2025-01-31,1779384,1419026,1272135,19770,360358,15223,345552,378
UAL,2025-02-01,1841783,1414737,1273804,20555,427046,14632,412896,372
UAL,2025-02-02,1748769,1335530,1204120,19163,413239,15393,398194,380
UAL,2025-02-03,1754835,1341794,1202235,18223,413041,14861,398547,378
UAL,2025-02-04,1415158,1079266,963203,15889,335892,11902,324320,376
UAL,2025-02-05,1463982,1122897,1002920,16075,341085,11362,330041,378
UAL,2025-02-06,1916285,1387099,1248557,18127,529186,15881,513612,383
UAL,2025-02-07,2251166,1562648,1426388,20168,688518,17392,671518,389
UAL,2025-02-08,2113308,1537644,1395226,21228,575664,15722,560266,383
UAL,2025-02-09,2101923,1579960,1477147,39162,521963,13610,508846,385
UAL,2025-02-10,2025954,1512387,1381889,23401,513567,12658,501200,383
UAL,2025-02-11,1759623,1297109,1181956,17530,462514,11531,451403,386
UAL,2025-02-12,1766448,1287918,1159426,18218,478530,11469,467405,380
UAL,2025-02-13,2042611,1494439,1352949,20165,548172,12659,535898,384
UAL,2025-02-14,2311633,1684318,1549467,22678,627315,15066,612674,386
UAL,2025-02-15,2334349,1697784,1558544,22939,636565,15918,620892,388
UAL,2025-02-16,2200610,1609153,1454684,20998,591457,13894,577846,390
UAL,2025-02-17,2339227,1703161,1544249,21792,636066,14756,621665,387
UAL,2025-02-18,2249609,1649078,1478214,22758,600531,13798,587080,387
UAL,2025-02-19,1602320,1100432,942188,12196,501888,12500,489442,389
UAL,2025-02-20,1617249,1109968,933757,11560,507281,12521,494784,395
UAL,2025-02-21,1719575,1169360,1001406,11873,550215,13038,537206,394
UAL,2025-02-22,1831629,1246379,1039788,12163,585250,14345,570944,393
UAL,2025-02-23,1684904,1143922,964964,11480,540982,12825,528180,389
UAL,2025-02-24,1644428,1121239,946932,10938,523189,12089,511136,394
UAL,2025-02-25,1432595,974404,816400,10542,458191,11024,447207,388
UAL,2025-02-26,1430403,977251,803633,10356,453152,11037,442147,390
UAL,2025-02-27,1661057,1135632,941178,11597,525425,12374,513091,394
UAL,2025-02-28,1771906,1207651,1016228,12177,564255,13495,550798,395
UAL,2025-03-01,1665733,1110393,916376,11047,555340,13892,541490,388
UAL,2025-03-02,1637358,1091838,878180,10134,545520,13323,532254,392
UAL,2025-03-03,1949396,1289087,1081846,10878,660309,16809,643559,396
UAL,2025-03-04,2300913,1640624,1470504,11860,660289,16489,643999,397
UAL,2025-03-05,2218318,1640668,1482925,12354,577650,14433,563414,399
UAL,2025-03-06,2552365,1899192,1697483,13700,653173,16391,637096,402
UAL,2025-03-07,2642102,1973898,1765779,13750,668204,16537,651877,400
UAL,2025-03-08,2806686,2097756,1871001,14012,708930,18721,690495,403
UAL,2025-03-09,2796940,2089949,1858007,14555,706991,17810,689494,410
UAL,2025-03-10,2540242,1887317,1685381,12975,652925,16093,637043,413
UAL,2025-03-11,2436641,1764842,1537181,12550,671799,17180,654876,412
UAL,2025-03-12,2534633,1898288,1663550,13168,636345,17472,619225,411
UAL,2025-03-13,2811802,2122054,1880720,14453,689748,19505,670695,415
UAL,2025-03-14,3044179,2299305,2041004,15302,744874,20228,725235,417
UAL,2025-03-15,3269754,2487899,2202829,15739,781855,20430,761966,406
UAL,2025-03-16,3113181,2375664,2111837,14872,737517,18572,719526,417
UAL,2025-03-17,3127079,2390716,2104356,15781,736363,18955,717943,419
UAL,2025-03-18,2813973,2140671,1881108,14682,673302,16770,657094,417
UAL,2025-03-19,2859804,2141409,1861750,14477,718395,17757,701131,416
UAL,2025-03-20,3133863,2326015,2045553,16771,807848,17591,790833,417
UAL,2025-03-21,3110190,2368338,2074988,16744,741852,16279,726174,421
UAL,2025-03-22,3285562,2510691,2228665,17592,774871,17404,758106,418
UAL,2025-03-23,3249708,2488703,2164115,17375,761005,16514,745264,424
UAL,2025-03-24,3134953,2396025,2107117,17341,738928,16351,723369,426
UAL,2025-03-25,2795144,2116887,1812952,16170,678257,15424,663489,431
UAL,2025-03-26,2724483,2065368,1802872,16040,659115,14542,645179,429
UAL,2025-03-27,3107198,2379056,2062838,17553,728142,15980,712917,432
UAL,2025-03-28,3287471,2508559,2199357,18303,778912,17002,762575,430
UAL,2025-03-29,3236329,2492414,2171664,17998,743915,16725,727760,429
UAL,2025-03-30,3162727,2437824,2107570,16814,724903,15512,710029,431
UAL,2025-03-31,3140271,2446796,2125850,17184,693475,15116,678962,432
UAL,2025-04-01,2784139,2255392,1843090,17111,528747,14592,515089,434
UAL,2025-04-02,2600632,2165180,1781019,15140,435452,12698,423439,432
UAL,2025-04-03,2981748,2513823,2104351,17003,467925,13321,455420,438
UAL,2025-04-04,3318194,2711440,2336220,17648,606754,18158,589514,442
UAL,2025-04-05,3458396,2785836,2378149,18212,672560,21032,652456,436
UAL,2025-04-06,3174454,2640362,2222224,16452,534092,15973,519091,436
UAL,2025-04-07,2974548,2487606,2047961,16125,486942,15130,472708,439
UAL,2025-04-08,2636809,2204005,1820701,14936,432804,12711,421008,436
UAL,2025-04-09,2754886,2303228,1900057,16077,451658,13631,438952,436
UAL,2025-04-10,3082100,2583017,2155134,17542,499083,15314,484716,445
UAL,2025-04-11,3209095,2688888,2267915,17678,520207,16242,504894,441
UAL,2025-04-12,3346236,2792711,2364297,18113,553525,17759,536573,433
UAL,2025-04-13,3281471,2750674,2282409,17816,530797,16818,514944,437
UAL,2025-04-14,3094597,2591248,2176399,16959,503349,15101,489172,451
UAL,2025-04-15,2624292,2215179,1787681,16025,409113,13350,396700,442
UAL,2025-04-16,3119633,2467290,2056872,18914,652343,18065,635392,439
UAL,2025-04-17,3402256,2729000,2266961,20630,673256,17861,656820,442
UAL,2025-04-18,3571292,2876440,2392456,20385,694852,17895,678432,447
UAL,2025-04-19,3643090,2915192,2454092,20513,727898,18943,710435,445
UAL,2025-04-20,3363151,2697000,2240865,18961,666151,17503,650159,452
UAL,2025-04-21,3427703,2755270,2293112,20047,672433,16976,657016,455
UAL,2025-04-22,3259567,2632605,2151457,20275,626962,16058,612436,461
UAL,2025-04-23,3126161,2515926,2086453,20265,610235,15236,596495,453
UAL,2025-04-24,3468496,2819706,2357742,21720,648790,16458,633896,457
UAL,2025-04-25,3720597,3011194,2522878,22142,709403,17532,693465,456
UAL,2025-04-26,3712606,2992806,2496338,22306,719800,18632,702898,456
