"icao_airline","tail_number","event_date","Total_impression_cnt","non_video_impression_cnt","clickable_impression_cnt","total_click_cnt","video_impression_cnt","total_skip_cnt","total_complete_cnt"
"P4N","P13954","2026-02-04","29392","27540","9949","128","1852","68","1792"
"P4N","P17312","2026-02-04","10662","10095","2801","15","567","24","544"
"P4N","P77558","2026-02-03","16581","15678","4438","45","903","26","880"
"P4N","P27266","2026-02-04","13306","12413","3528","30","893","34","859"
"P4N","P35204","2026-02-03","14152","13320","3554","22","832","29","803"
"P4N","P68453","2026-02-04","10365","9474","3584","26","891","17","874"
"P4N","P2136U","2026-02-04","26900","24561","9361","105","2339","60","2285"
"P4N","P76519","2026-02-03","13380","12549","3501","22","831","25","806"
"P4N","P17410","2026-01-17","23462","21848","5526","41","1614","42","1582"
"P4N","P27268","2026-01-17","12833","11704","3746","36","1129","36","1097"
"P4N","P37466","2026-01-17","12252","11220","2882","24","1032","45","990"
"P4N","P73278","2026-01-17","10085","9522","2119","11","563","18","545"
"P4N","P14520","2026-01-17","20352","18421","5614","45","1931","39","1896"
"P4N","P26952","2026-01-17","5074","4790","2120","17","284","4","280"
"P4N","P67501","2026-01-16","14091","12647","4145","38","1444","46","1404"
"P4N","P34547","2026-01-22","11207","10212","3256","27","995","20","978"
"P4N","P18243","2026-01-22","12952","12237","2355","16","715","15","703"
"P4N","P37295","2026-01-21","10584","9729","3020","29","855","12","851"
"P4N","P62884","2026-01-22","16697","15529","4117","38","1168","30","1145"
"P4N","P27404","2026-01-22","20048","18446","5038","36","1602","66","1547"
"P4N","P75429","2026-01-21","12904","11470","3359","45","1434","49","1399"
"P4N","P67350","2026-01-22","13522","12766","3520","34","756","21","749"
"P4N","P17279","2026-01-21","13532","12388","4487","20","1144","31","1119"
"P4N","P14121","2026-01-22","15298","13963","4080","40","1335","27","1311"
"P4N","P26910","2026-01-21","13036","12232","2939","15","804","9","798"
"P4N","P61898","2026-01-21","11667","10647","3043","24","1020","23","997"
"P4N","P37540","2026-01-22","15215","13682","4627","20","1533","26","1507"
"P4N","P34455","2026-01-21","13690","12869","2804","14","821","23","798"
"P4N","P17599","2026-01-01","9807","9177","3336","20","630","29","609"
"P4N","P79279","2026-01-01","11243","9828","4293","52","1415","38","1402"
"P4N","P77295","2026-01-01","6246","5959","1835","7","287","14","276"
"P4N","P37507","2026-01-01","2518","2405","2405","29","113","3","110"
"P4N","P17272","2026-02-02","15714","14773","4936","26","941","29","912"
"P4N","P17327","2026-02-02","14259","13398","3574","27","861","11","852"
"P4N","P75432","2026-02-01","15198","13864","4145","30","1334","45","1289"
"P4N","P27568","2026-02-02","15787","14553","4458","56","1234","39","1200"
"P4N","P74532","2026-02-01","10966","10212","3433","16","754","13","741"
"P4N","P4704N","2026-02-02","10518","10065","1985","15","453","17","436"
"P4N","P8944N","2026-02-01","12292","11687","2986","23","605","15","590"
"P4N","P47280","2026-02-01","14337","13311","3852","29","1026","32","995"
"P4N","P16217","2026-02-01","12841","12211","3225","24","630","21","612"
"P4N","P76021","2026-02-01","20495","18895","5217","33","1600","50","1556"
"P4N","P17407","2026-01-15","17284","15874","4596","17","1410","30","1386"
"P4N","P37562","2026-01-15","16310","15238","2118","19","1072","24","1051"
"P4N","P8174N","2026-01-15","8729","8170","1956","8","559","14","545"
"P4N","P78506","2026-01-14","15430","14405","3644","27","1025","25","1006"
"P4N","P61882","2026-01-15","12365","11317","3754","27","1048","28","1024"
"P4N","P14539","2026-01-15","13590","12358","3626","32","1232","38","1196"
"P4N","P76528","2026-01-20","16728","15472","4011","25","1256","35","1223"
"P4N","P37548","2026-01-20","21711","20029","5845","48","1682","45","1639"
"P4N","P37510","2026-01-19","17876","16491","4435","39","1385","33","1356"
"P4N","P27015","2026-01-19","20870","19407","5356","28","1463","44","1420"
"P4N","P24510","2026-01-19","19098","17747","4133","21","1351","29","1324"
"P4N","P2846U","2026-01-19","37376","34579","8265","63","2797","81","2735"
"P4N","P47343","2026-01-20","10258","9570","2300","10","688","17","674"
"P4N","P37541","2026-01-20","17125","15825","4479","30","1300","50","1250"
"P4N","P37298","2026-01-19","3628","3536","364","0","92","1","91"
"P4N","P14102","2026-01-13","17275","16677","5505","22","598","14","586"
"P4N","P17312","2026-01-12","17313","16142","4843","36","1171","33","1149"
"P4N","P14102","2026-01-12","21830","20339","8051","43","1491","35","1463"
"P4N","P17431","2026-01-13","11614","10853","2544","13","761","16","746"
"P4N","P37531","2026-01-13","7906","7513","1501","9","393","6","390"
"P4N","P18243","2026-01-12","16880","15914","3448","25","966","19","947"
"P4N","P14554","2026-01-12","21260","19885","5106","34","1375","31","1351"
"P4N","P14106","2026-01-12","10246","9257","5124","21","989","24","965"
"P4N","P12216","2026-01-13","10547","9574","2852","18","973","18","956"
"P4N","P14517","2026-01-12","17802","16950","2540","24","852","16","842"
"P4N","P23983","2026-01-11","18007","15993","4871","30","2014","38","1984"
"P4N","P26906","2026-01-12","12287","10980","4305","40","1307","32","1278"
"P4N","P29961","2026-01-12","24866","21692","7495","64","3174","73","3111"
"P4N","P27251","2026-01-09","14906","13807","3409","23","1099","32","1073"
"P4N","P78285","2026-01-09","15245","14083","3420","33","1162","39","1124"
"P4N","P76528","2026-01-08","12722","12127","2343","18","595","25","580"
"P4N","P13014","2026-01-09","36047","33004","12144","121","3043","105","2970"
"P4N","P14565","2026-01-08","2818","2260","2260","13","558","24","550"
"P4N","P14536","2026-01-09","17614","16390","3994","46","1224","28","1199"
