zone_name,lag_1d,lag_7d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,active_campaigns_in_zone,days_since_last,total_planned_daily_demand,paid_ratio,day_of_week,is_weekend,month,cat_fb,cat_home,cat_movies,cat_music,cat_other,cat_tv,cat_welcome,predicted_imp_per_flight,daily_capacity
A24 > Featured List,0.0058997050147492625,0.05390835579514825,0.06387415359528313,0.04240015566449544,0.033936024206925375,4,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
A24 > Movies,0.04979253112033195,0.004016064257028112,0.021433691563390582,0.015466021994240303,0.017960921110634853,17,9,0.0,0.0,2,0,5,0,0,1,0,0,0,0,0.46561825,338.83707
A24 > Podcasts,0.00273224043715847,0.004316546762589928,0.004199224707664244,0.004291013773327961,0.0008307114971504042,2,39,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
All Movies (A-Z) > #,3.0,4.46164199192463,3.166461278405829,4.3373722516690725,1.4120173435367986,1,-174,0.0,0.0,2,0,5,0,0,1,0,0,0,0,3.2511003,2365.872
All Movies (A-Z) > A,3.0,1.0,1.8571428571428572,11.947095014120832,1.2149857925879117,2,-198,0.0,0.0,2,0,5,0,0,1,0,0,0,0,2.9945023,2179.142
All Movies (A-Z) > B,3.0,1.0,2.0,11.190492292752149,1.2909944487358056,2,-198,0.0,0.0,2,0,5,0,0,1,0,0,0,0,2.9945023,2179.142
All Movies (A-Z) > C,2.0,7.230088495575221,3.175726927939317,12.675917142140788,2.1086128539862767,2,-198,0.0,0.0,2,0,5,0,0,1,0,0,0,0,2.7448711,1997.4819
All Movies (A-Z) > D,4.0,7.0,5.428571428571429,16.401791702771217,4.755948656056709,3,-198,0.0,0.0,2,0,5,0,0,1,0,0,0,0,4.682882,3407.8
All Movies (A-Z) > E,1.0,6.085753803596127,2.28047641779144,5.327773510871841,1.9110583289928489,1,-199,0.0,0.0,2,0,5,0,0,1,0,0,0,0,1.576475,1147.2234
All Movies (A-Z) > F,6.0,1.0,3.857142857142857,18.288225628725694,2.410295378065479,3,-197,0.0,0.0,2,0,5,0,0,1,0,0,0,0,5.49985,4002.3193
All Movies (A-Z) > G,2.0,2.0,1.8571428571428572,11.65762420259142,1.0690449676496976,2,-198,0.0,0.0,2,0,5,0,0,1,0,0,0,0,2.3245292,1691.5931
All Movies (A-Z) > H,2.0,1.0,1.4285714285714286,13.986423389287115,0.5345224838248488,2,-196,0.0,0.0,2,0,5,0,0,1,0,0,0,0,2.2489529,1636.5951
All Movies (A-Z) > I,1.0,9.813278008298756,3.0424362599297425,9.326034888258881,3.2303184059573224,1,-197,0.0,0.0,2,0,5,0,0,1,0,0,0,0,1.9070542,1387.7906
All Movies (A-Z) > J,2.0,3.6198347107438016,3.089986021918537,4.45476319529329,2.3605549884596204,2,-199,0.0,0.0,2,0,5,0,0,1,0,0,0,0,2.5914485,1885.8341
All Movies (A-Z) > K,1.0,1.5992010652463382,1.4545676808620587,1.3562486056239307,0.42010806621711294,1,-169,0.0,0.0,2,0,5,0,0,1,0,0,0,0,1.2910472,939.5135
All Movies (A-Z) > L,2.0,6.535269709543568,2.7781105906174757,6.3559610615116595,1.9647442164345095,2,-198,0.0,0.0,2,0,5,0,0,1,0,0,0,0,2.7448711,1997.4819
All Movies (A-Z) > M,1.0,17.828492392807746,6.094967939806922,14.849063115262746,5.80548642604812,1,-198,0.0,0.0,2,0,5,0,0,1,0,0,0,0,2.1544583,1567.8301
All TV (A-Z) > #,3.0,3.4688796680497926,2.138832788651024,3.7663840436899405,1.0222315887231044,3,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,3.0302892,2205.1848
All TV (A-Z) > A,11.0,10.553250345781466,5.163106560143244,8.483642420508726,4.123079152673089,3,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,10.2684,7472.4614
All TV (A-Z) > B,21.0,5.920353982300885,5.845764854614411,11.720890312260925,7.22080124971865,3,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,25.569305,18607.148
All TV (A-Z) > C,8.0,4.008264462809917,3.0991080470422046,3.5504552733465577,2.4698977183239204,3,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,6.8940654,5016.91
All TV (A-Z) > D,1.0,5.0767160161507405,3.637185474175176,3.619256912215528,2.064293971842046,1,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,1.6874287,1227.966
All TV (A-Z) > E,3.0,1.719562243502052,1.68025543504991,1.9672576712948207,0.7200571985094655,2,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,2.984181,2171.631
All TV (A-Z) > F,2.0,1.0,4.928571428571429,9.032585452131043,4.285912693820024,2,-199,0.0,0.0,2,0,5,0,0,0,0,0,1,0,3.0790856,2240.6946
All TV (A-Z) > G,5.0,2.8132780082987554,2.7394442666722623,2.9987495520015623,1.17189018220153,2,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,4.7497187,3456.4382
All TV (A-Z) > H,5.0,0.96271637816245,1.4742045902415835,1.1663460292516041,1.563830247691745,3,-11,0.0,0.0,2,0,5,0,0,0,0,0,1,0,4.4559097,3242.6292
All TV (A-Z) > I,2.0,2.4979811574697175,2.019365432675648,1.9675648166259074,0.6276740594105326,1,-197,0.0,0.0,2,0,5,0,0,0,0,0,1,0,2.3245292,1691.5931
All TV (A-Z) > J,2.0,1.0780619111709286,1.218502299901342,1.0653370939902886,0.5560341344853262,2,-197,0.0,0.0,2,0,5,0,0,0,0,0,1,0,2.2769961,1657.0027
All TV (A-Z) > K,4.0,4.024623803009576,2.9902530826531923,3.2843974053296376,1.341375335981013,2,-196,0.0,0.0,2,0,5,0,0,0,0,0,1,0,3.9934285,2906.075
All TV (A-Z) > L,1.0,7.40218878248974,4.26329899315553,5.616101321007349,3.4062169587732534,1,-170,0.0,0.0,2,0,5,0,0,0,0,0,1,0,2.05242,1493.5753
All TV (A-Z) > M,3.0,6.742934051144011,5.10185161958328,6.455457643967406,2.49033747803011,2,-171,0.0,0.0,2,0,5,0,0,0,0,0,1,0,3.7508059,2729.5151
All TV (A-Z) > N,0.5471976401179941,0.967654986522911,1.0846875147569464,0.9875576673826775,0.2611002862693376,18,8,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.9292767,676.2479
All TV (A-Z) > O,2.0,6.690082644628099,3.5617004614210543,6.236453943993333,2.3860198726066297,2,-197,0.0,0.0,2,0,5,0,0,0,0,0,1,0,2.7987578,2036.696
All TV (A-Z) > P,3.0,9.079343365253077,5.604221247151101,7.452237742868803,3.882710074434066,2,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,3.919286,2852.1204
All TV (A-Z) > Q,0.029498525073746312,0.07277628032345014,0.09400130039883282,0.09203161564216414,0.04105512056552048,8,8,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.46561825,338.83707
All TV (A-Z) > R,0.5,6.370523415977962,2.745425092739347,5.238941288024551,2.3698708153945445,1,-172,0.0,0.0,2,0,5,0,0,0,0,0,1,0,1.449425,1054.7673
All TV (A-Z) > S,11.0,1.0,3.0,9.415729521126062,3.559026084010437,3,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,9.768692,7108.817
All TV (A-Z) > T,2.0,3.7079646017699117,1.672566371681416,5.565525739715094,1.0137926821447885,2,-197,0.0,0.0,2,0,5,0,0,0,0,0,1,0,2.3245292,1691.5931
Apple TV > Movies,0.13716814159292035,0.2830188679245283,0.2525845889317244,0.31382296894910444,0.06331035389822398,16,8,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.5122454,372.7683
Apple TV+ > Featured List,0.17256637168141592,0.45417789757412397,0.4001898728973969,0.36474012361607827,0.10667319046224584,15,8,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.58451664,425.3611
Apple TV+ > TV Shows,0.700589970501475,1.5161725067385445,1.4163333312391657,1.7319879245830665,0.3222114518572525,24,8,0.0,0.0,2,0,5,0,0,0,0,0,1,0,1.018103,740.8881
By Language > Arabic,0.09587020648967552,0.15768194070080863,0.11307290009285977,0.10365824641379535,0.03559894652307267,7,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.47376752,344.7674
By Language > Chinese (traditional),0.18436578171091444,0.1326949384404925,0.3185327232274931,0.43943937524604093,0.37018452055666384,11,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.5811659,422.92273
By Language > Dutch,0.005471956224350205,0.010958904109589041,0.007738070477498876,0.009530226542459403,0.005700681323576589,4,11,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
By Language > English,2.0,1.0523415977961432,0.7713598262681428,0.7669578761412468,0.6369530393150609,1,-196,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.2083747,1607.0659
By Language > French,0.06932153392330384,0.16172506738544473,0.2172619768914883,0.2130438056384278,0.1010405475181971,10,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.4988203,362.99866
By Language > German,0.03982300884955752,0.1118508655126498,0.12054972575912692,0.0996051415147838,0.07829375344650773,8,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
By Language > Hebrew,0.011799410029498525,0.022757697456492636,0.010801974222918601,0.010037527815905585,0.007052981254363527,5,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
By Language > Hindi,1.0619469026548674,1.8733153638814015,1.8128993587811604,1.954352185032991,0.3614079091316111,18,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,1.3385782,974.1025
By Language > Italian,0.11651917404129794,0.20215633423180593,0.22948224506188739,0.22853559464480536,0.09567256916487624,8,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.5122454,372.7683
By Language > Japanese,0.01327433628318584,0.01094391244870041,0.1647925501390996,0.3154775518172244,0.19615499739130607,4,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
By Language > Korean,0.16224188790560473,0.30997304582210244,0.35000943300479637,0.3519496130673289,0.10194654785432768,10,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.54860485,399.2276
By Language > Spanish,0.017980636237897647,0.00535475234270415,0.01783219656933155,0.017916560624704293,0.014884966778863883,5,9,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
Collections > 'Tis the Season,0.004070556309362279,0.0028208744710860366,0.006020046907573083,0.015730844270258764,0.0026948605306078514,3,50,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
Collections > A24,3.0,4.762982689747004,4.225219796718203,4.463731137198152,1.2896117661714979,2,-196,0.0,0.0,2,0,5,0,0,0,0,1,0,0,3.3964655,2471.6565
Collections > Actor Spotlight,0.01809954751131222,0.03523035230352303,0.041709603586206165,0.041658009777929994,0.025748784650968786,2,393,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.11011344,80.13113
Collections > Animated Comedy,1.0,4.919778699861688,2.325455111358244,7.233374280568575,1.3485866728011926,1,-175,0.0,0.0,2,0,5,0,0,0,0,1,0,0,1.4230514,1035.5748
Collections > Anime,2.0,2.744340878828229,2.8170688947154283,2.148229150547275,0.7928499774362434,1,-197,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.5811272,1878.3231
Collections > Apple TV,2.0,5.0,13.571428571428571,59.09826264742874,13.782321319443287,2,-199,0.0,0.0,2,0,5,0,0,0,0,0,1,0,6.596598,4800.439
Collections > Apple TV+,0.04240766073871409,0.2694938440492476,0.17630029057032054,0.18029765657300081,0.126152260634896,9,46,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.47376752,344.7674
Collections > Award Contenders,1.0,2.7035398230088497,3.38621997471555,24.495150955317317,2.770190353100206,1,-174,0.0,0.0,2,0,5,0,0,0,0,1,0,0,1.657961,1206.522
Collections > Award Winners,0.008928571428571428,0.02037351443123939,0.020295132326657767,0.03333710320123912,0.01595416507709296,1,157,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.0,0.0
