zone_name,total_allocated,capacity,utilization_pct,zpr
b_featured_a242,338.84,338.84,100.0,0.0097
b_tv_spanish1,6771.36,6771.36,100.0,0.0026
b_movies_sports2,740.89,740.89,100.0,0.0933
b_movies_ireland_on_film2,338.84,338.84,100.0,0.0004
b_movies_portuguese1,1202.81,1202.81,100.0,0.1116
b_home_r4b_3,486.87,486.87,100.0,0.0646
b_tv_english2,722.43,722.43,100.0,0.0049
b_movies_sci-fi_fantasy2,2898.56,2898.56,100.0,0.0443
b_tv_all_(a-z)2,1188.75,1188.75,100.0,0.1342
b_movies_new_releases2,34600.21,34600.21,100.0,0.2872
b_tv_all_(a-z)1,2361.75,2361.75,100.0,0.1467
b_movies_award_contenders2,4966.44,4966.44,100.0,0.0308
b_movies_hebrew2,338.84,338.84,100.0,0.0093
b_movies_movies_with_chinese_(t)_subtitles1,795.88,795.88,100.0,0.082
b_movies_movies_under_1.5_hours1,5361.86,5361.85,100.0,0.0922
b_featured_stand-up1,338.84,338.84,100.0,0.0004
b_movies_italian2,436.81,436.81,100.0,0.0376
b_movies_love_in_the_air1,1466.38,1466.38,100.0,0.0002
b_movies_festival_favorites2,338.84,338.84,100.0,1.0
b_movies_sci-fi_fantasy1,3827.59,3827.59,100.0,0.0769
b_movies_korean1,2104.71,2104.71,100.0,0.0242
b_tv_short_form1,338.84,338.84,100.0,1.0
b_movies_documentary2,6594.83,6594.83,100.0,0.0331
b_movies_hindi1,3310.77,3310.77,100.0,0.0278
b_movies_spanish1,1028.06,1028.06,100.0,0.1805
b_movies_romance1,1442.28,1442.28,100.0,0.2237
b_movies_full_throttle1,338.84,338.84,100.0,1.0
b_movies_vision_voice:_spike_lee2,338.84,338.84,100.0,1.0
b_tv_apple_tv2,18373.83,18373.83,100.0,0.0751
b_tv_tv_under_one_hour2,5304.12,5304.12,100.0,0.057
b_tv_united_videos2,450.24,450.24,100.0,0.0568
b_tv_lifestyle_reality1,1725.15,1725.15,100.0,0.0594
b_movies_international1,2386.07,2386.07,100.0,0.1583
b_tv_short_form2,338.84,338.84,100.0,1.0
b_tv_peacock1,12643.28,12643.28,100.0,0.1233
b_movies_anime1,4346.53,4346.53,100.0,0.0661
b_tv_stand-up_comedy1,939.51,939.51,100.0,0.097
b_tv_comedy1,2336.87,2336.87,100.0,0.1866
b_movies_german2,502.96,502.96,100.0,0.027
b_featured_a241,338.84,338.84,100.0,0.011
b_tv_animated_comedy1,1028.06,1028.06,100.0,0.146
b_featured_spotify_video_podcasts2,338.84,338.84,100.0,0.0008
b_movies_portuguese2,503.48,503.48,100.0,0.0738
b_movies_award_contenders1,3975.88,3975.88,100.0,0.0658
b_tv_hbo_max1,3180.43,3180.43,100.0,0.7856
b_movies_styled_to_perfection2,12308.65,12308.65,100.0,0.0434
b_movies_drama2,2253.13,2253.13,100.0,0.0529
b_movies_full_throttle2,338.84,338.84,100.0,1.0
b_tv_full_seasons1,1387.79,1387.79,100.0,0.652
b_fb_non-alcoholic1,1442.28,1442.28,100.0,0.1754
b_tv_veeps:_live_music1,639.44,639.44,100.0,0.0715
b_movies_blockbusters2,3715.95,3715.95,100.0,0.0585
b_movies_audio_described_movies2,338.84,338.84,100.0,0.0004
b_tv_new_onboard1,4263.86,4263.86,100.0,0.5793
b_featured_a24_podcasts1,338.84,338.84,100.0,1.0
b_tv_tv_under_one_hour1,4027.26,4027.26,100.0,0.1351
b_tv_sports1,1227.97,1227.97,100.0,0.1731
b_movies_ireland_on_film1,344.77,344.77,100.0,0.0004
b_movies_blockbusters1,2675.89,2675.89,100.0,0.2544
b_tv_drama2,1636.6,1636.6,100.0,0.0327
b_movies_movies_under_2_hours1,3484.86,3484.86,100.0,0.1186
b_tv_lifestyle_reality2,740.89,740.89,100.0,0.0854
b_featured_spotify_playlists2,338.84,338.84,100.0,0.0105
b_movies_movies_with_portuguese_subtitles2,338.84,338.84,100.0,0.0194
b_movies_perfect_plane_movies2,5485.87,5485.87,100.0,0.0743
b_tv_comedy2,1294.54,1294.54,100.0,0.1886
b_tv_concerts_live_events1,3072.21,3072.21,100.0,0.2343
